,Mmus_C57-6T_LVR_BSL_Rep1_B1,Mmus_C57-6T_LVR_BSL_Rep2_B2,Mmus_C57-6T_LVR_BSL_Rep3_B3,Mmus_C57-6T_LVR_FLT_Rep1_F1,Mmus_C57-6T_LVR_FLT_Rep2_F2,Mmus_C57-6T_LVR_FLT_Rep3_F4,Mmus_C57-6T_LVR_GC_Rep1_G2,Mmus_C57-6T_LVR_GC_Rep2_G3,Mmus_C57-6T_LVR_GC_Rep3_G5,Mmus_C57-6J_LVR_FLT_C_Rep1_M25,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mmus_C57-6J_LVR_FLT_C_Rep4_M28,Mmus_C57-6J_LVR_FLT_C_Rep5_M30,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus_C57-6J_LVR_GC_C_Rep1_M36,Mmus_C57-6J_LVR_GC_C_Rep2_M37,Mmus_C57-6J_LVR_GC_C_Rep3_M38,Mmus_C57-6J_LVR_GC_C_Rep4_M39,Mmus_C57-6J_LVR_GC_C_Rep5_M40,Mmus_C57-6J_LVR_GC_I_Rep1_M31,Mmus_C57-6J_LVR_GC_I_Rep2_M32,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep1_M4,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep2_M5,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep3_M7,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep4_M8,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep5_M10,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep1_M16,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep2_M17,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep3_M18,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep4_M19,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep5_M20,Mmus_BAL-TAL_LVR_BSL_Rep1_B1,Mmus_BAL-TAL_LVR_BSL_Rep2_B2,Mmus_BAL-TAL_LVR_BSL_Rep3_B3,Mmus_BAL-TAL_LVR_BSL_Rep4_B4,Mmus_BAL-TAL_LVR_BSL_Rep5_B6,Mmus_BAL-TAL_LVR_BSL_Rep6_B7,Mmus_BAL-TAL_LVR_FLT_Rep1_F1,Mmus_BAL-TAL_LVR_FLT_Rep2_F2,Mmus_BAL-TAL_LVR_FLT_Rep3_F3,Mmus_BAL-TAL_LVR_FLT_Rep4_F4,Mmus_BAL-TAL_LVR_FLT_Rep5_F5,Mmus_BAL-TAL_LVR_FLT_Rep6_F6,Mmus_BAL-TAL_LVR_GC_Rep1_G1,Mmus_BAL-TAL_LVR_GC_Rep2_G2,Mmus_BAL-TAL_LVR_GC_Rep3_G3,Mmus_BAL-TAL_LVR_GC_Rep4_G5,Mmus_BAL-TAL_LVR_GC_Rep5_G6,Mmus_BAL-TAL_LVR_GC_Rep6_G7
0,143280.9845757276,-47121.24644817534,92797.0082514691,128452.61098380838,295093.7289979771,343962.537840091,80778.5558752301,-8773.244360944293,166907.24219941793,-22082.00633604637,142946.36966530894,3806.6259358878783,42801.05760348386,62800.7424298413,23398.81225943136,-37468.92011811889,66496.57173405055,42166.35428765572,51126.92934042361,-10049.224418098487,33369.35479250187,94459.85574343009,169494.45592912324,190107.38313617627,294616.8740437172,446920.08699157677,228853.65648777958,1126119.8930845745,613317.5205347209,880295.1175260125,191250.08429239053,274558.2595531577,690106.0042440158,-534746.4656146488,-503551.3397426486,-764570.5423763437,-378081.7314661521,-446146.9576045504,-555996.8002842712,-395332.21704492747,-336634.14512905217,-294159.3462477092,-295721.4477160408,-418224.26443757454,-459801.3995166327,-496535.83651109657,-449436.27949350094,-267994.79952303687,-547711.1639986341,-414037.497792997,-715558.1278558854
1,3054699.4911079095,2617372.1259079613,2701324.8519370747,2709069.6297495216,2845800.995660909,3332907.949735954,2459169.4891227945,2794437.840449724,2414085.323885941,1707392.55585351,2176967.768448111,1843023.6963359378,1811186.8093908,1648232.5476234471,3911870.9699076707,2780837.470220066,1924725.6326830592,1212717.451998244,2515125.0426473324,1697468.7320899155,1936817.1136986387,3960059.977675781,3183738.520192313,4120370.1549042407,4308821.187852382,4438110.079687937,3958743.2815713123,6544154.242774731,5046787.771976868,4968302.883204034,5219182.26624523,3759055.2090592985,5048852.103910889,4620898.015270238,4344333.384955647,3588996.697317078,3959470.661728685,3672787.111662375,4191919.3572615585,2467992.70156823,3620356.203714244,3186192.942212232,3213454.8368712226,3107006.7338693985,3546478.5637584715,3175232.4706579885,4574664.80485014,5045673.932144489,4670562.045546049,4457036.824008147,3474544.9135109447
2,887240.6477283069,788895.8074149962,1171170.2325256504,903889.5627937141,991052.1517188301,1286703.976970392,1025547.5240424805,1010379.5640832048,924357.0472047628,4205119.251298539,4213337.780275372,3744897.3075480233,3216179.356439862,3657442.0516388356,1396796.9269105552,800106.581153756,3969617.2459972114,2968421.4322841335,3819844.9341940433,1936514.9560696434,2402980.589972274,1259705.4536659082,1370604.3949031543,698716.7225523624,718382.0440798072,807601.7807362188,840370.6159071845,1079880.499455065,988190.7437076974,840682.2702631119,794559.0167617997,743754.0782377842,1128008.6946812097,777149.8189439826,955713.2022926653,920283.2027275774,1203053.8794086538,1373444.3721989004,785594.1467998762,287836.272971287,1166175.2983531442,832607.5552801315,534407.4602859586,1081918.256541746,1496514.876659574,611399.6365437432,1125704.2461289407,1212463.4738695757,756678.2317932306,1553934.5173996103,723570.2330218506
3,-2326.063960237862,-5453.2247148991055,-1099.850471104155,742.2500228613075,6444.377830445166,6764.373779740007,2564.8050061097288,-6760.271694483169,9657.802965644538,4018.3654860967517,34078.19038700941,9754.332874940108,8615.173269337285,14108.39405814938,-8626.841951889082,-15354.938300039603,25635.355721865675,17967.724393880326,14657.242071664734,1310.128555061106,7131.544775183435,-6130.167169412125,4360.277733428799,7303061.661903868,4729718.833157225,4399551.671793588,5441876.107838636,7557441.839540301,5116689.85206657,6769447.466248186,7234353.009488528,6599157.4231591765,6745574.367215091,6579085.408736334,7985087.778514316,4560542.380922605,6925166.069316794,6937674.290061297,8536912.319273308,6012656.565257676,6370519.723286694,5986433.244967796,4632428.115146949,6208555.698802206,7159133.536809941,7022389.417080071,3570061.4283759356,5058956.197329136,7018263.296130996,5714933.899218151,8106006.981549164
4,-885.6483520198082,1219.9907007459933,2685.1740629280507,2639.9874231382823,5992.195700312227,5808.84427889033,8211.821539074323,2054.7487291812804,8137.873815336481,5654.038874222051,21569.556214357715,9614.392289636937,8398.397618432356,13680.316783399443,-10084.281335616392,-10340.021689544415,19908.45972638081,19197.80007969445,13361.631889850722,5878.414323303177,8419.171986100448,-10972.587422017486,559.4543974635467,3864753.899093554,5756585.820624922,7339083.22497411,4388408.80065512,5384067.536529838,8094100.17023626,3716905.97601547,4213059.917776644,6773311.455663893,5728898.518743844,5683942.773656419,6838135.9298581835,9189097.303640136,6281869.016299835,6412788.711151419,6111219.220779845,3134930.6221994124,5255295.92901186,6911007.698275314,2852142.784527457,2721987.777667682,3495381.119703027,5132258.076055691,6580101.271229494,4514831.838376867,3965060.424195105,4632442.687323994,4737970.5075263465
