sample,dataset,condition,library,oro_percent_positivity
Mmus_C57.6J_LVR_RR1_BSL_wERCC_Rep1_M4,GLDS168,basal,ribodeplete,0
Mmus_C57.6J_LVR_RR1_BSL_wERCC_Rep2_M5,GLDS168,basal,ribodeplete,0
Mmus_C57.6J_LVR_RR1_BSL_wERCC_Rep3_M7,GLDS168,basal,ribodeplete,0
Mmus_C57.6J_LVR_RR1_BSL_wERCC_Rep4_M8,GLDS168,basal,ribodeplete,0
Mmus_C57.6J_LVR_RR1_BSL_wERCC_Rep5_M10,GLDS168,basal,ribodeplete,0
Mmus_C57.6J_LVR_RR1_FLT_noERCC_Rep1_M25,GLDS168,flight,ribodeplete,0
Mmus_C57.6J_LVR_RR1_FLT_noERCC_Rep2_M26,GLDS168,flight,ribodeplete,0
Mmus_C57.6J_LVR_RR1_FLT_noERCC_Rep3_M28,GLDS168,flight,ribodeplete,0
Mmus_C57.6J_LVR_RR1_FLT_noERCC_Rep4_M29,GLDS168,flight,ribodeplete,0
Mmus_C57.6J_LVR_RR1_FLT_noERCC_Rep5_M30,GLDS168,flight,ribodeplete,0
Mmus_C57.6J_LVR_RR1_FLT_wERCC_Rep1_M25,GLDS168,flight,ribodeplete,0
Mmus_C57.6J_LVR_RR1_FLT_wERCC_Rep2_M26,GLDS168,flight,ribodeplete,0
Mmus_C57.6J_LVR_RR1_FLT_wERCC_Rep3_M28,GLDS168,flight,ribodeplete,0
Mmus_C57.6J_LVR_RR1_FLT_wERCC_Rep4_M29,GLDS168,flight,ribodeplete,0
Mmus_C57.6J_LVR_RR1_FLT_wERCC_Rep5_M30,GLDS168,flight,ribodeplete,0
Mmus_C57.6J_LVR_RR1_GC_noERCC_Rep1_M36,GLDS168,ground,ribodeplete,0
Mmus_C57.6J_LVR_RR1_GC_noERCC_Rep2_M37,GLDS168,ground,ribodeplete,0
Mmus_C57.6J_LVR_RR1_GC_noERCC_Rep3_M38,GLDS168,ground,ribodeplete,0
Mmus_C57.6J_LVR_RR1_GC_noERCC_Rep4_M39,GLDS168,ground,ribodeplete,0
Mmus_C57.6J_LVR_RR1_GC_noERCC_Rep5_M40,GLDS168,ground,ribodeplete,0
Mmus_C57.6J_LVR_RR1_GC_wERCC_Rep1_M36,GLDS168,ground,ribodeplete,0
Mmus_C57.6J_LVR_RR1_GC_wERCC_Rep2_M37,GLDS168,ground,ribodeplete,0
Mmus_C57.6J_LVR_RR1_GC_wERCC_Rep3_M38,GLDS168,ground,ribodeplete,0
Mmus_C57.6J_LVR_RR1_GC_wERCC_Rep4_M39,GLDS168,ground,ribodeplete,0
Mmus_C57.6J_LVR_RR1_GC_wERCC_Rep5_M40,GLDS168,ground,ribodeplete,0
Mmus_C57.6J_LVR_RR1_VIV_wERCC_Rep1_M16,GLDS168,vivarium,ribodeplete,0
Mmus_C57.6J_LVR_RR1_VIV_wERCC_Rep2_M17,GLDS168,vivarium,ribodeplete,0
Mmus_C57.6J_LVR_RR1_VIV_wERCC_Rep3_M18,GLDS168,vivarium,ribodeplete,0
Mmus_C57.6J_LVR_RR1_VIV_wERCC_Rep4_M19,GLDS168,vivarium,ribodeplete,0
Mmus_C57.6J_LVR_RR1_VIV_wERCC_Rep5_M20,GLDS168,vivarium,ribodeplete,0
